# Ecoflex30, bending actuator, displacement test.
# wall=7mm, 7 chambers, chamber=[8x8x2]mm, tube=[2,2,7]mm.
# Pressure (N/mm2), Bending Angle (degrees)
0.010007,0
0.010014,0
0.010022,0
0.010029,0
0.010036,0
0.010275,1.0141
0.010283,1.0141
0.01029,1.1828
0.010297,1.3514
0.010304,1.2671
0.010312,1.0985
0.010319,1.0141
0.010326,1.1828
0.010333,1.2671
0.010341,1.2671
0.010348,1.0985
0.010355,1.0985
0.010362,1.1828
0.01037,1.2671
0.010377,1.1828
0.010384,1.1828
0.010391,1.0985
0.010399,1.1828
0.010406,1.1828
0.010413,1.1828
0.01042,1.1828
0.010428,1.1828
0.010435,1.1828
0.010442,1.1828
0.010449,1.1828
0.010457,1.1828
0.010464,1.1828
0.010471,1.1828
0.010478,1.1828
0.010486,1.1828
0.010493,1.1828
0.0105,1.1828
0.010507,1.1828
0.010514,1.1828
0.010522,1.2671
0.010529,1.1828
0.010536,1.1828
0.010543,1.1828
0.010551,1.1828
0.010558,1.1828
0.010565,1.1828
0.010572,1.1828
0.01058,1.1828
0.010587,1.1828
0.010594,1.1828
0.010601,1.1828
0.010609,1.2671
0.010616,1.2671
0.010623,1.2671
0.01063,1.1828
0.010638,1.1828
0.010645,1.1828
0.010652,1.1828
0.010659,1.2671
0.010667,1.2671
0.010674,1.1828
0.010681,1.1828
0.010688,1.2671
0.010696,1.2671
0.010703,1.1828
0.01071,1.2671
0.010717,1.2671
0.010725,1.2671
0.010732,1.1828
0.010739,1.1828
0.010746,1.2671
0.010754,1.2671
0.010761,1.2671
0.010768,1.2671
0.010775,1.2671
0.010783,1.2671
0.01079,1.2671
0.010797,1.2671
0.010804,1.2671
0.010812,1.2671
0.010819,1.2671
0.010826,1.2671
0.010833,1.2671
0.010841,1.2671
0.010848,1.2671
0.010855,1.2671
0.010862,1.2671
0.01087,1.2671
0.010877,1.2671
0.010884,1.2671
0.010891,1.2671
0.010899,1.2671
0.010906,1.2671
0.010913,1.2671
0.01092,1.2671
0.010928,1.2671
0.010935,1.2671
0.010942,1.2671
0.010949,1.2671
0.010957,1.2671
0.010964,1.2671
0.010971,1.2671
0.010978,1.2671
0.010986,1.2671
0.010993,1.2671
0.011,1.2671
0.011007,1.2671
0.011014,1.2671
0.011022,1.2671
0.011029,1.2671
0.011036,1.2671
0.011043,1.2671
0.011051,1.2671
0.011058,1.2671
0.011065,1.2671
0.011072,1.2671
0.01108,1.2671
0.011087,1.3514
0.011094,1.2671
0.011101,1.3514
0.011109,1.2671
0.011116,1.3514
0.011123,1.2671
0.01113,1.2671
0.011138,1.3514
0.011145,1.3514
0.011152,1.3514
0.011159,1.3514
0.011167,1.3514
0.011174,1.3514
0.011181,1.2671
0.011188,1.3514
0.011196,1.3514
0.011203,1.3514
0.01121,1.3514
0.011217,1.3514
0.011225,1.3514
0.011232,1.3514
0.011239,1.2671
0.011246,1.2671
0.011254,1.3514
0.011261,1.2671
0.011268,1.2671
0.011275,1.3514
0.011283,1.3514
0.01129,1.3514
0.011297,1.3514
0.011304,1.3514
0.011312,1.3514
0.011319,1.3514
0.011326,1.3514
0.011333,1.3514
0.011341,1.3514
0.011348,1.3514
0.011355,1.3514
0.011362,1.3514
0.01137,1.3514
0.011377,1.3514
0.011384,1.3514
0.011391,1.3514
0.011399,1.3514
0.011406,1.3514
0.011413,1.3514
0.01142,1.3514
0.011428,1.3514
0.011435,1.3514
0.011442,1.3514
0.011449,1.3514
0.011457,1.3514
0.011464,1.3514
0.011471,1.3514
0.011478,1.3514
0.011486,1.3514
0.011493,1.3514
0.0115,1.3514
0.011507,1.3514
0.011514,1.4357
0.011522,1.4357
0.011529,1.3514
0.011536,1.3514
0.011543,1.3514
0.011551,1.3514
0.011558,1.3514
0.011565,1.4357
0.011572,1.3514
0.01158,1.4357
0.011587,1.3514
0.011594,1.3514
0.011601,1.3514
0.011609,1.3514
0.011616,1.3514
0.011623,1.3514
0.01163,1.3514
0.011638,1.3514
0.011645,1.3514
0.011652,1.4357
0.011659,1.4357
0.011667,1.3514
0.011674,1.4357
0.011681,1.4357
0.011688,1.3514
0.011696,1.4357
0.011703,1.3514
0.01171,1.4357
0.011717,1.4357
0.011725,1.5199
0.011732,1.5199
0.011739,1.4357
0.011746,1.5199
0.011754,1.5199
0.011761,1.4357
0.011768,1.4357
0.011775,1.4357
0.011783,1.4357
0.01179,1.4357
0.011797,1.4357
0.011804,1.4357
0.011812,1.4357
0.011819,1.4357
0.011826,1.4357
0.011833,1.4357
0.011841,1.4357
0.011848,1.4357
0.011855,1.4357
0.011862,1.4357
0.01187,1.4357
0.011877,1.4357
0.011884,1.4357
0.011891,1.4357
0.011899,1.4357
0.011906,1.4357
0.011913,1.4357
0.01192,1.4357
0.011928,1.4357
0.011935,1.4357
0.011942,1.4357
0.011949,1.4357
0.011957,1.4357
0.011964,1.4357
0.011971,1.4357
0.011978,1.4357
0.011986,1.4357
0.011993,1.4357
0.012,1.4357
0.012007,1.5199
0.012014,1.4357
0.012022,1.4357
0.012029,1.4357
0.012036,1.4357
0.012043,1.4357
0.012051,1.4357
0.012058,1.4357
0.012065,1.4357
0.012072,1.4357
0.01208,1.4443
0.012087,1.5199
0.012094,1.5199
0.012101,1.4357
0.012109,1.4357
0.012116,1.4357
0.012123,1.4357
0.01213,1.5199
0.012138,1.4357
0.012145,1.4357
0.012152,1.4357
0.012159,1.5199
0.012167,1.5199
0.012174,1.5199
0.012181,1.5199
0.012188,1.5199
0.012196,1.5199
0.012203,1.5199
0.01221,1.5199
0.012217,1.5199
0.012225,1.5199
0.012232,1.5199
0.012239,1.5199
0.012246,1.5199
0.012254,1.5199
0.012261,1.5199
0.012268,1.5199
0.012275,1.5199
0.012283,1.5199
0.01229,1.5199
0.012297,1.5199
0.012304,1.5199
0.012312,1.5199
0.012319,1.5199
0.012326,1.5199
0.012333,1.5199
0.012341,1.5199
0.012348,1.5199
0.012355,1.5199
0.012362,1.5199
0.01237,1.6041
0.012377,1.5199
0.012384,1.6041
