# Ecoflex30, bending actuator, displacement test.
# wall=10mm, 5 chambers, chamber=[8x8x2]mm, tube=[2,2,10]mm.
# Pressure (N/mm2), Bending Angle (degrees)
0.01008,0
0.010087,0.2755
0.010094,0.4237
0.010101,0.2067
0.010109,0.0689
0.010116,0.217
0.010123,0.3548
0.01013,0.2755
0.010138,0.1378
0.010145,0.217
0.010152,0.3548
0.010159,0.2859
0.010167,0.2067
0.010174,0.2067
0.010181,0.2859
0.010188,0.2067
0.010196,0.2067
0.010203,0.2067
0.01021,0.2859
0.010217,0.2755
0.010225,0.2067
0.010232,0.2067
0.010239,0.2755
0.010246,0.2755
0.010254,0.2067
0.010261,0.217
0.010268,0.2067
0.010275,0.2067
0.010283,0.2067
0.01029,0.2067
0.010297,0.2067
0.010304,0.2755
0.010312,0.2067
0.010319,0.2067
0.010326,0.2755
0.010333,0.2755
0.010341,0.2067
0.010348,0.2067
0.010355,0.2755
0.010362,0.2755
0.01037,0.2067
0.010377,0.2067
0.010384,0.2067
0.010391,0.2755
0.010399,0.2755
0.010406,0.2067
0.010413,0.2067
0.01042,0.2067
0.010428,0.2755
0.010435,0.2755
0.010442,0.2755
0.010449,0.2755
0.010457,0.2755
0.010464,0.2755
0.010471,0.2067
0.010478,0.2755
0.010486,0.2755
0.010493,0.2755
0.0105,0.2755
0.010507,0.2755
0.010514,0.2755
0.010522,0.2755
0.010529,0.2755
0.010536,0.2755
0.010543,0.2755
0.010551,0.2755
0.010558,0.2755
0.010565,0.2755
0.010572,0.2755
0.01058,0.2755
0.010587,0.2755
0.010594,0.2755
0.010601,0.2755
0.010609,0.2755
0.010616,0.2755
0.010623,0.2755
0.01063,0.2755
0.010638,0.2755
0.010645,0.2755
0.010652,0.2755
0.010659,0.2755
0.010667,0.2755
0.010674,0.2755
0.010681,0.2755
0.010688,0.2755
0.010696,0.2755
0.010703,0.2755
0.01071,0.2755
0.010717,0.2755
0.010725,0.2755
0.010732,0.2755
0.010739,0.2755
0.010746,0.2755
0.010754,0.2755
0.010761,0.2755
0.010768,0.2755
0.010775,0.2755
0.010783,0.2755
0.01079,0.2755
0.010797,0.2755
0.010804,0.2755
0.010812,0.2755
0.010819,0.2755
0.010826,0.2755
0.010833,0.2755
0.010841,0.2755
0.010848,0.2755
0.010855,0.2755
0.010862,0.2755
0.01087,0.2755
0.010877,0.2755
0.010884,0.2755
0.010891,0.2755
0.010899,0.2755
0.010906,0.2755
0.010913,0.2755
0.01092,0.2755
0.010928,0.2755
0.010935,0.2755
0.010942,0.2755
0.010949,0.2755
0.010957,0.2755
0.010964,0.2755
0.010971,0.2755
0.010978,0.2755
0.010986,0.2755
0.010993,0.2755
0.011,0.2755
0.011007,0.2755
0.011014,0.2755
0.011022,0.2755
0.011029,0.2755
0.011036,0.2755
0.011043,0.2755
0.011051,0.2755
0.011058,0.2755
0.011065,0.2755
0.011072,0.2755
0.01108,0.2755
0.011087,0.2755
0.011094,0.2755
0.011101,0.2755
0.011109,0.2755
0.011116,0.2755
0.011123,0.2755
0.01113,0.2755
0.011138,0.2755
0.011145,0.2755
0.011152,0.2755
0.011159,0.2755
0.011167,0.2755
0.011174,0.2755
0.011181,0.2755
0.011188,0.2755
0.011196,0.2755
0.011203,0.2755
0.01121,0.2755
0.011217,0.2755
0.011225,0.2755
0.011232,0.2755
0.011239,0.2755
0.011246,0.2755
0.011254,0.3443
0.011261,0.2755
0.011268,0.2755
0.011275,0.3443
0.011283,0.2755
0.01129,0.2755
0.011297,0.2755
0.011304,0.2755
0.011312,0.2755
0.011319,0.2755
0.011326,0.2755
0.011333,0.2755
0.011341,0.2755
0.011348,0.2755
0.011355,0.2755
0.011362,0.2755
0.01137,0.3443
0.011377,0.3443
0.011384,0.3443
0.011391,0.3443
0.011399,0.3443
0.011406,0.3443
0.011413,0.3443
0.01142,0.3443
0.011428,0.2755
0.011435,0.3443
0.011442,0.3443
0.011449,0.3443
0.011457,0.3443
0.011464,0.3443
0.011471,0.3443
0.011478,0.3443
0.011486,0.3443
