# Material: Ecoflex 30
# Mullin's Effect: Removed at 40KPa
# Test sample: 1 (8x8w7mm_5 chambers with extra wall length at one end to clamp the sample)
# Time (s), Force (N), Pressure (N/mm2)
1.373,0.070286,0.01
1.379,0.072028,0.01
1.388,0.074302,0.01
1.394,0.072527,0.01
1.403,0.071801,0.01
1.409,0.073069,0.01
1.419,0.074274,0.01
1.425,0.075044,0.01
1.435,0.072307,0.01
1.441,0.073442,0.01
1.451,0.073159,0.01
1.457,0.072566,0.01
1.467,0.069286,0.01
1.473,0.076898,0.01
1.483,0.072969,0.01
1.489,0.070203,0.01
1.498,0.073489,0.01
1.503,0.077123,0.01
1.515,0.071551,0.01
1.525,0.070783,0.01
1.537,0.074038,0.01
1.543,0.071525,0.01
1.555,0.071275,0.01
1.567,0.070394,0.01
1.577,0.074965,0.01
1.584,0.072268,0.01
1.592,0.069536,0.01
1.599,0.074161,0.01
1.608,0.075597,0.01
1.614,0.074576,0.01
1.623,0.071133,0.01
1.629,0.070634,0.01
1.638,0.075528,0.01
1.644,0.073151,0.01
1.653,0.071997,0.01
1.659,0.070974,0.01
1.669,0.072202,0.01
1.675,0.075776,0.01
1.685,0.071671,0.01
1.691,0.07175,0.01
1.702,0.074306,0.01
1.708,0.074235,0.01
1.717,0.078595,0.01
1.723,0.072595,0.01
1.733,0.070853,0.01
1.739,0.071075,0.01
1.749,0.071974,0.01
1.755,0.073913,0.01
1.764,0.071902,0.01
1.77,0.069261,0.01
1.779,0.076231,0.01
1.785,0.075942,0.01
1.794,0.070709,0.01
1.806,0.070839,0.01
1.812,0.071752,0.01
1.824,0.073095,0.01
1.836,0.071377,0.01
1.845,0.068625,0.01
1.851,0.074023,0.01
1.86,0.074418,0.01
1.875,0.071245,0.01
1.887,0.069629,0.01
1.899,0.07377,0.01
1.909,0.072977,0.01
1.923,0.075072,0.01
1.935,0.070327,0.01
1.946,0.072361,0.01
1.958,0.070687,0.01
1.965,0.076243,0.01
1.977,0.071288,0.01
1.992,0.073471,0.01
1.999,0.073161,0.01
2.01,0.073738,0.01
2.025,0.072045,0.01
2.037,0.073327,0.01
2.052,0.071457,0.01
2.059,0.073752,0.01
2.07,0.072151,0.01
2.084,0.075781,0.01
2.091,0.070977,0.01
2.105,0.074779,0.01
2.112,0.070757,0.01
2.123,0.071426,0.01
2.137,0.070488,0.01
2.151,0.072492,0.01
2.158,0.07228,0.01
2.171,0.072794,0.01
2.178,0.072539,0.01
2.188,0.070046,0.01
2.194,0.076865,0.01
2.205,0.06942,0.01
2.219,0.071833,0.01
2.226,0.072046,0.01
2.24,0.075658,0.01
2.247,0.071566,0.01
2.259,0.074726,0.01
2.27,0.075755,0.01
2.283,0.076613,0.01
2.29,0.069166,0.01
2.302,0.076628,0.01
2.309,0.073656,0.01
2.32,0.071974,0.01
2.326,0.074233,0.01
2.336,0.07593,0.01
2.342,0.072509,0.01
2.352,0.07117,0.01
2.359,0.07284,0.01
