# Material: Ecoflex 30
# Mullin's Effect: Removed at 40KPa
# Test sample: 1 (8x8w7mm_7 chambers with extra wall length at one end to clamp the sample)
# Time (s), Force (N), Pressure (N/mm2) 
1.237,0.054691,0.01
1.247,0.014186,0.01
1.254,0.037106,0.01
1.262,0.022394,0.01
1.273,0.011783,0.01
1.28,0.034409,0.01
1.289,0.014708,0.01
1.298,0.045692,0.01
1.305,0.016585,0.01
1.317,0.021878,0.01
1.328,0.015255,0.01
1.334,0.029722,0.01
1.343,0.014997,0.01
1.349,0.016006,0.01
1.357,0.035445,0.01
1.363,0.013358,0.01
1.372,0.014501,0.01
1.378,0.043499,0.01
1.387,0.018037,0.01
1.394,0.037361,0.01
1.402,0.016346,0.01
1.408,0.013818,0.01
1.418,0.033607,0.01
1.424,0.015979,0.01
1.433,0.013555,0.01
1.439,0.043037,0.01
1.448,0.014801,0.01
1.454,0.03538,0.01
1.463,0.031167,0.01
1.469,0.013894,0.01
1.478,0.04736,0.01
1.484,0.016202,0.01
1.493,0.032984,0.01
1.499,0.033926,0.01
1.508,0.011153,0.01
1.515,0.038429,0.01
1.523,0.031453,0.01
1.53,0.014485,0.01
1.538,0.054901,0.01
1.544,0.014179,0.01
1.553,0.015382,0.01
1.559,0.045232,0.01
1.568,0.014812,0.01
1.574,0.038249,0.01
1.584,0.041385,0.01
1.59,0.016597,0.01
1.6,0.053426,0.01
1.606,0.017904,0.01
1.615,0.023421,0.01
1.621,0.025412,0.01
1.63,0.013662,0.01
1.636,0.047214,0.01
1.645,0.022306,0.01
1.651,0.020135,0.01
1.661,0.045287,0.01
1.667,0.014583,0.01
1.675,0.027931,0.01
1.682,0.023842,0.01
1.69,0.017679,0.01
1.696,0.046989,0.01
1.705,0.024597,0.01
1.711,0.016127,0.01
1.72,0.041721,0.01
1.726,0.015897,0.01
1.735,0.028431,0.01
1.741,0.031976,0.01
1.751,0.013409,0.01
1.757,0.046339,0.01
1.766,0.015164,0.01
1.772,0.022955,0.01
1.781,0.043095,0.01
1.787,0.013744,0.01
1.796,0.035,0.01
1.802,0.021018,0.01
1.811,0.015607,0.01
1.817,0.041088,0.01
1.825,0.014615,0.01
1.832,0.025484,0.01
1.84,0.036025,0.01
1.846,0.012576,0.01
1.855,0.022105,0.01
1.861,0.027664,0.01
1.87,0.015054,0.01
1.876,0.047175,0.01
1.885,0.020206,0.01
1.891,0.017624,0.01
1.901,0.041296,0.01
1.907,0.017698,0.01
1.916,0.034043,0.01
1.922,0.023803,0.01
1.931,0.019064,0.01
1.937,0.043508,0.01
1.946,0.016617,0.01
1.951,0.023967,0.01
1.961,0.04936,0.01
1.972,0.016314,0.01
1.984,0.043807,0.01
1.995,0.016287,0.01
2.001,0.023465,0.01
2.009,0.018069,0.01
2.015,0.045046,0.01
2.024,0.028737,0.01
2.03,0.013945,0.01
2.039,0.05171,0.01
2.045,0.016745,0.01
2.054,0.02114,0.01
2.06,0.040547,0.01
2.069,0.014111,0.01
2.075,0.05057,0.01
2.085,0.026477,0.01
2.091,0.020754,0.01
2.1,0.044305,0.01
2.106,0.018547,0.01
2.116,0.025324,0.01
2.122,0.027582,0.01
2.131,0.014559,0.01
2.137,0.04597,0.01
2.146,0.016633,0.01
2.152,0.023285,0.01
2.161,0.033472,0.01
2.167,0.018068,0.01
2.175,0.048098,0.01
2.182,0.023889,0.01
2.19,0.020055,0.01
2.204,0.04274,0.01
2.216,0.017306,0.01
2.222,0.019592,0.01
2.233,0.014943,0.01
2.244,0.040501,0.01
2.25,0.016992,0.01
2.258,0.044581,0.01
2.265,0.020558,0.01
2.273,0.032431,0.01
2.28,0.032503,0.01
2.289,0.019807,0.01
2.295,0.046557,0.01
2.303,0.02853,0.01
2.308,0.017726,0.01
2.318,0.029736,0.01
