# Ecoflex30 uniaxial material testing.	
# Length = 50mm	
# Max strain: 700%	
# Strain rate = 5%/s	
# Time (s) 	Length (mm)	Force (N)
0.039999999	50.03438314	2.97E-02
0.039999999	50.03438314	2.97E-02
0.050000001	50.05396525	-1.35E-02
0.050000001	50.05396525	-1.35E-02
0.059999999	50.07375082	1.42E-03
0.059999999	50.07375082	1.42E-03
0.07	50.09414673	1.20E-03
0.07	50.09414673	1.20E-03
0.079999998	50.11398315	1.12E-03
0.079999998	50.11398315	1.12E-03
0.090000004	50.1339213	3.89E-03
0.090000004	50.1339213	3.89E-03
0.100000001	50.15396118	9.08E-04
0.100000001	50.15396118	9.08E-04
0.109999999	50.17389933	1.49E-03
0.109999999	50.17389933	1.49E-03
0.119999997	50.1940918	4.05E-03
0.119999997	50.1940918	4.05E-03
0.129999995	50.21387737	2.39E-03
0.129999995	50.21387737	2.39E-03
0.140000001	50.23401897	4.17E-03
0.140000001	50.23401897	4.17E-03
0.150000006	50.25390624	9.61E-04
0.150000006	50.25390624	9.61E-04
0.159999996	50.27369184	4.21E-03
0.159999996	50.27369184	4.21E-03
0.170000002	50.29378256	8.23E-03
0.170000002	50.29378256	8.23E-03
0.180000007	50.31377157	4.10E-03
0.180000007	50.31377157	4.10E-03
0.189999998	50.33386229	3.39E-03
0.189999998	50.33386229	3.39E-03
0.200000003	50.35380048	5.91E-03
0.200000003	50.35380048	5.91E-03
0.209999993	50.37384033	7.92E-03
0.209999993	50.37384033	7.92E-03
0.219999999	50.39388021	6.28E-03
0.219999999	50.39388021	6.28E-03
0.230000004	50.41397093	6.98E-03
0.230000004	50.41397093	6.98E-03
0.239999995	50.43385825	7.44E-03
0.239999995	50.43385825	7.44E-03
0.25	50.45389813	8.16E-03
0.25	50.45389813	8.16E-03
0.25999999	50.47409057	6.98E-03
0.25999999	50.47409057	6.98E-03
0.270000011	50.49392699	6.85E-03
0.270000011	50.49392699	6.85E-03
0.280000001	50.51417033	1.20E-02
0.280000001	50.51417033	1.20E-02
0.289999992	50.53405762	8.49E-03
0.289999992	50.53405762	8.49E-03
0.300000012	50.55394496	1.06E-02
0.300000012	50.55394496	1.06E-02
0.310000002	50.57403563	7.49E-03
0.310000002	50.57403563	7.49E-03
0.319999993	50.59377041	9.23E-03
0.319999993	50.59377041	9.23E-03
0.330000013	50.6140137	1.17E-02
0.330000013	50.6140137	1.17E-02
0.340000004	50.63374842	1.21E-02
0.340000004	50.63374842	1.21E-02
0.349999994	50.65394084	1.25E-02
0.349999994	50.65394084	1.25E-02
0.360000014	50.67392987	1.02E-02
0.360000014	50.67392987	1.02E-02
0.370000005	50.69381716	1.10E-02
0.370000005	50.69381716	1.10E-02
0.379999995	50.71390788	1.30E-02
0.379999995	50.71390788	1.30E-02
0.389999986	50.73379517	1.26E-02
0.389999986	50.73379517	1.26E-02
0.400000006	50.75383508	1.37E-02
0.400000006	50.75383508	1.37E-02
0.409999996	50.7739258	1.43E-02
0.409999996	50.7739258	1.43E-02
0.419999987	50.79401652	1.38E-02
0.419999987	50.79401652	1.38E-02
0.430000007	50.81390381	1.37E-02
0.430000007	50.81390381	1.37E-02
0.439999998	50.83404541	1.63E-02
0.439999998	50.83404541	1.63E-02
0.449999988	50.85398357	1.60E-02
0.449999988	50.85398357	1.60E-02
0.460000008	50.87392173	1.39E-02
0.460000008	50.87392173	1.39E-02
0.469999999	50.8941142	1.73E-02
0.469999999	50.8941142	1.73E-02
0.479999989	50.91395061	1.62E-02
0.479999989	50.91395061	1.62E-02
0.49000001	50.9340414	1.81E-02
0.49000001	50.9340414	1.81E-02
0.5	50.95408125	1.63E-02
0.5	50.95408125	1.63E-02
0.50999999	50.97401941	1.85E-02
0.50999999	50.97401941	1.85E-02
0.519999981	50.994161	1.85E-02
0.519999981	50.994161	1.85E-02
0.529999971	51.01404835	1.73E-02
0.529999971	51.01404835	1.73E-02
0.540000021	51.03398645	1.99E-02
0.540000021	51.03398645	1.99E-02
0.550000012	51.05392456	2.01E-02
0.550000012	51.05392456	2.01E-02
0.560000002	51.0740154	2.10E-02
0.560000002	51.0740154	2.10E-02
0.569999993	51.09385175	2.00E-02
0.569999993	51.09385175	2.00E-02
0.579999983	51.1138916	2.13E-02
0.579999983	51.1138916	2.13E-02
0.589999974	51.13372807	1.92E-02
0.589999974	51.13372807	1.92E-02
0.600000024	51.1538188	2.16E-02
0.600000024	51.1538188	2.16E-02
0.610000014	51.17365527	2.23E-02
0.610000014	51.17365527	2.23E-02
0.620000005	51.19369512	2.17E-02
0.620000005	51.19369512	2.17E-02
0.629999995	51.21383672	2.28E-02
0.629999995	51.21383672	2.28E-02
0.639999986	51.23382569	2.28E-02
0.639999986	51.23382569	2.28E-02
0.649999976	51.25396729	2.26E-02
0.649999976	51.25396729	2.26E-02
0.660000026	51.27395627	2.12E-02
0.660000026	51.27395627	2.12E-02
0.670000017	51.29394536	2.16E-02
0.670000017	51.29394536	2.16E-02
0.680000007	51.31393434	2.28E-02
0.680000007	51.31393434	2.28E-02
0.689999998	51.33392331	2.70E-02
0.689999998	51.33392331	2.70E-02
0.699999988	51.35396328	2.40E-02
0.699999988	51.35396328	2.40E-02
0.709999979	51.37400313	2.62E-02
0.709999979	51.37400313	2.62E-02
0.720000029	51.39399222	2.65E-02
0.720000029	51.39399222	2.65E-02
0.730000019	51.41403195	2.57E-02
0.730000019	51.41403195	2.57E-02
0.74000001	51.43397017	2.44E-02
0.74000001	51.43397017	2.44E-02
0.75	51.45380665	2.66E-02
0.75	51.45380665	2.66E-02
0.75999999	51.47374475	2.85E-02
0.75999999	51.47374475	2.85E-02
0.769999981	51.49383547	2.96E-02
0.769999981	51.49383547	2.96E-02
0.779999971	51.51382445	2.91E-02
0.779999971	51.51382445	2.91E-02
0.790000021	51.53391529	2.62E-02
0.790000021	51.53391529	2.62E-02
0.800000012	51.55375176	2.84E-02
0.800000012	51.55375176	2.84E-02
0.810000002	51.57374074	2.83E-02
0.810000002	51.57374074	2.83E-02
0.819999993	51.59372971	2.96E-02
0.819999993	51.59372971	2.96E-02
0.829999983	51.61356619	2.96E-02
0.829999983	51.61356619	2.96E-02
0.839999974	51.63370778	3.13E-02
0.839999974	51.63370778	3.13E-02
0.850000024	51.65364589	3.17E-02
0.850000024	51.65364589	3.17E-02
0.860000014	51.67388911	3.20E-02
0.860000014	51.67388911	3.20E-02
0.870000005	51.69397995	3.12E-02
0.870000005	51.69397995	3.12E-02
0.879999995	51.71386718	3.26E-02
0.879999995	51.71386718	3.26E-02
0.889999986	51.73400878	3.23E-02
0.889999986	51.73400878	3.23E-02
0.899999976	51.75379438	3.15E-02
0.899999976	51.75379438	3.15E-02
0.910000026	51.77393598	3.44E-02
0.910000026	51.77393598	3.44E-02
0.920000017	51.79392507	3.22E-02
0.920000017	51.79392507	3.22E-02
0.930000007	51.8139648	3.53E-02
0.930000007	51.8139648	3.53E-02
0.939999998	51.83395389	3.36E-02
0.939999998	51.83395389	3.36E-02
0.949999988	51.85379025	3.31E-02
0.949999988	51.85379025	3.31E-02
0.959999979	51.87383022	3.45E-02
0.959999979	51.87383022	3.45E-02
0.970000029	51.89376832	3.66E-02
0.970000029	51.89376832	3.66E-02
0.980000019	51.91380817	3.49E-02
0.980000019	51.91380817	3.49E-02
